DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT West Gates,Arrival,Domestic,68035
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T8,Arrival,International,385
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T7,Arrival,International,58865
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T5,Arrival,Domestic,399884
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T5,Departure,Domestic,402640
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T2,Departure,Domestic,414991
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T2,Departure,International,30545
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT West Gates,Departure,International,28952
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T2,Arrival,International,6739
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T7,Departure,Domestic,271219
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T6,Departure,International,56081
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,TBIT West Gates,Departure,International,74098
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,TBIT West Gates,Arrival,International,99892
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T1,Departure,Domestic,241004
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T6,Departure,Domestic,171777
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,TBIT,Arrival,Domestic,25173
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T7,Arrival,Domestic,278621
12/10/2021 06:01:09 AM,11/01/2021 12:00:00 AM,T2,Arrival,Domestic,471098
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T8,Arrival,Domestic,79388
08/10/2021 12:12:41 PM,07/01/2021 12:00:00 AM,TBIT West Gates,Arrival,Domestic,71981
